spotify:track:1LmaRffBwttEaRsT0ENOoK,0.146,0.43,214187.0,0.652,0.0,3.0,0.171,-6.54,1.0,0.0332,77.753,4.0,0.318
spotify:track:1c2MXiju7DNPSfsKoVbHlg,0.0645,0.604,214853.0,0.894,0.0,4.0,0.253,-3.612,0.0,0.035,137.047,4.0,0.611
spotify:track:5G5IX0zeEIYhHKe71Zecx6,0.0267,0.723,204000.0,0.527,0.0,5.0,0.111,-7.792,0.0,0.0326,126.072,4.0,0.324
spotify:track:2YHZq64qZop5LnGDgMZiX3,0.00921,0.529,252000.0,0.703,0.0,9.0,0.0515,-3.935,1.0,0.0361,133.962,4.0,0.373
spotify:track:4ciaNqHWA2IzHphZaVRzHI,0.0743,0.484,190613.0,0.791,0.0,7.0,0.0491,-4.27,1.0,0.0437,124.008,4.0,0.369
spotify:track:1BECwm5qkaBwlbfo4kpYx8,0.0137,0.462,203507.0,0.538,0.0,0.0,0.429,-5.527,1.0,0.059,139.256,4.0,0.405
spotify:track:4hVJIlulH29qKVYGCT6cky,0.046,0.636,229627.0,0.874,0.0,11.0,0.844,-3.577,1.0,0.0562,140.045,4.0,0.88
spotify:track:7EYWEwJyai7udNmqvRPsZM,0.0282,0.412,214427.0,0.859,0.00715,0.0,0.404,-4.095,0.0,0.0852,127.934,4.0,0.369
spotify:track:3ZpkG38zxXA9eetpBtqr3f,0.0169,0.501,237296.0,0.808,0.0,6.0,0.201,-6.242,1.0,0.0992,174.077,4.0,0.408
spotify:track:1IQrWMzaUT0mwjP64lfQvR,0.679,0.38,264867.0,0.351,0.000483,6.0,0.23,-7.529,1.0,0.0566,63.489,4.0,0.376
spotify:track:3VV530tpZ14TossImxyOeU,0.882,0.346,265893.0,0.315,0.000109,7.0,0.115,-12.447,1.0,0.0453,107.584,4.0,0.0722
spotify:track:6P1imZZqCDg3TK9f2MSDN8,0.766,0.762,225953.0,0.464,0.146,1.0,0.09,-8.68,0.0,0.0354,119.988,4.0,0.209
spotify:track:2mb32CDk3XusDc87vjeAoG,0.0315,0.594,240293.0,0.709,0.0562,6.0,0.0738,-9.541,0.0,0.0377,90.001,4.0,0.587
spotify:track:4rjkBykCKOAmBeWhhMtOyQ,0.00953,0.803,333750.0,0.877,0.0741,9.0,0.0757,-8.317,0.0,0.186,127.991,4.0,0.218
spotify:track:05KfyCEE6otdlT1pp2VIjP,0.0417,0.772,203782.0,0.775,0.0,10.0,0.226,-4.388,0.0,0.112,124.978,4.0,0.748
spotify:track:0Zxgbt8MzrgjHnXQT4C2kt,0.00252,0.336,215413.0,0.7,3.34e-06,4.0,0.103,-4.402,1.0,0.0325,145.126,4.0,0.223
spotify:track:4N5TCcb3z1emeqmg5JCCI3,0.0831,0.474,252107.0,0.707,0.0,7.0,0.162,-4.534,1.0,0.0253,83.235,4.0,0.224
spotify:track:5cZ3QCfLRVBxMptA6HswII,0.95,0.347,241400.0,0.262,0.0229,0.0,0.164,-10.366,1.0,0.0364,139.724,4.0,0.414
spotify:track:2cG8MViLjQYJKpxhNlgYAR,0.299,0.431,205800.0,0.81,0.0,7.0,0.249,-6.051,1.0,0.0958,110.118,4.0,0.674
spotify:track:4OLVK3kktkdLPp8dDgoCtb,0.294,0.522,319200.0,0.53,5.19e-05,4.0,0.0997,-4.812,1.0,0.033,104.039,4.0,0.157
spotify:track:70yhaHLp9STtzI2Kzba6Tr,0.546,0.654,233733.0,0.578,0.0,6.0,0.112,-6.897,1.0,0.449,143.867,4.0,0.233
spotify:track:34MJ07N9Bhu6iKPaxSVnCT,0.0875,0.63,233173.0,0.827,1.13e-06,6.0,0.0992,-4.215,0.0,0.121,125.941,4.0,0.751
spotify:track:5lVmDYJR8EaDRe0s1T6S9M,0.476,0.445,251559.0,0.415,0.000132,11.0,0.114,-9.829,1.0,0.0418,135.61,4.0,0.15
spotify:track:4QNL6Yz4MACfPPArSDPdcD,0.0381,0.63,175095.0,0.694,0.0,4.0,0.0731,-5.256,1.0,0.0327,120.005,4.0,0.62
spotify:track:06JRkix5RRMRIWffxZqlGt,0.0141,0.542,160941.0,0.585,0.213,3.0,0.0929,-9.3,1.0,0.0474,170.046,4.0,0.337
spotify:track:2CPqh63wRVscbceKcPxwvv,0.0225,0.632,183414.0,0.575,1.81e-06,5.0,0.104,-6.478,1.0,0.029,90.037,4.0,0.188
spotify:track:0YyKEUqjK2aolXbdqIoUb6,0.784,0.704,249685.0,0.285,0.0127,11.0,0.335,-15.58,1.0,0.0361,109.92,4.0,0.349
spotify:track:5RbjZdW8vLZQJpRAZwNIdX,0.322,0.518,221173.0,0.474,0.0,0.0,0.1,-8.34,1.0,0.0287,106.512,4.0,0.164
spotify:track:2Kpoeflreypc9B2iQeawu2,0.00649,0.463,230747.0,0.766,1.66e-05,6.0,0.581,-5.383,1.0,0.0511,184.075,4.0,0.173
spotify:track:5o1TaTsFtDddxLa2BKw29y,0.0351,0.565,216687.0,0.876,0.0,9.0,0.109,-2.309,1.0,0.0888,127.55,4.0,0.617
spotify:track:4IWLawtdMznqdOnbOR9cWW,0.0609,0.586,195707.0,0.706,0.0,0.0,0.12,-3.673,0.0,0.0454,127.961,4.0,0.219
spotify:track:7xpraKSakDJ6WWgjQEtvgT,0.0843,0.512,226330.0,0.559,0.0,1.0,0.0696,-5.498,1.0,0.0253,85.017,4.0,0.193
spotify:track:7cQMJ0wDqVS5iM0JIvP6Ay,0.00527,0.577,230427.0,0.882,0.0,8.0,0.257,-5.224,1.0,0.0492,115.022,4.0,0.564
spotify:track:56e0TmMKb5OC01FouB4KBE,0.339,0.451,252108.0,0.764,7.79e-05,0.0,0.475,-8.012,1.0,0.0309,152.012,4.0,0.436
